Date,AMZN,AAPL,MSFT,NVDA,META,Total,Daily Returns
2017-02-28,54763.44782890473,25064.032199048663,27365.269461077845,101600.0,34554.49330783939,243347.24279687062,-0.0135690100714293
2017-03-01,55281.918340894365,25576.289791437983,27775.87681779298,102800.0,35033.77947737412,246467.86442749947,0.012823739421751856
2017-03-02,55022.68308489956,25422.612513721193,27378.100940975197,99200.0,34865.51943913321,241888.91597872917,-0.018578277778347974
2017-03-03,55074.53013609851,25576.289791437983,27480.752780153976,98400.0,34970.044614404076,241501.61732209456,-0.0016011426363523595
2017-03-06,54867.141931302656,25495.79216977681,27489.30710008554,97600.0,35033.77947737412,240486.02067853912,-0.004205340961344062
2017-03-07,54828.25664290343,25525.06403219905,27544.910179640723,98800.00000000001,35003.18674314851,241701.41759789173,0.0050539192087895035
2017-03-08,55113.41542449773,25429.93047932675,27797.2626176219,98400.0,35110.26131293817,241850.86983438456,0.0006183341329899505
2017-03-09,55281.918340894365,25371.386754482257,27686.056458511554,98400.0,35242.82982791587,241982.19138180406,0.0005429856320526838
2017-03-10,55243.033052495135,25451.884376143436,27771.599657827206,99200.0,35383.046526449965,243049.56361291575,0.0044109536533105675
2017-03-13,55385.61244329229,25466.520307354556,27677.502138579985,102000.0,35589.54748247292,246119.18237169978,0.01262959995959001
2017-03-14,55255.99481529489,25429.93047932675,27549.187339606502,101600.0,35518.16443594646,245353.2770701746,-0.0031119285142450215
2017-03-15,55281.918340894365,25700.695206732526,27694.61077844312,102400.0,35620.14021669853,246697.3645427685,0.005478172081677446
2017-03-16,55307.84186649384,25737.285034760338,27647.562018819506,104000.0,35688.97386870618,248381.66278877985,0.006827386458436724
2017-03-17,55243.033052495135,25612.879619465788,27745.936698032507,106000.0,35650.73295092416,250252.5823209176,0.007532438228858851
2017-03-20,55541.153596889184,25883.64434687157,27771.599657827206,109600.00000000001,35676.22689611217,254472.62449770016,0.01686313139167095
2017-03-21,54646.791963707066,25583.60775704355,27463.64414029085,106000.0,35311.66347992352,249005.707340965,-0.021483321310204695
2017-03-22,54957.874270900844,25869.00841566045,27814.371257485032,108000.0,35586.99808795411,252228.25203200046,0.012941649914163689
2017-03-23,54918.98898250163,25781.192828393705,27745.936698032507,107200.0,35571.701720841294,251217.82022976913,-0.004006021506675395
2017-03-24,54802.333117303955,25729.967069154773,27792.985457656123,107600.0,35778.202676864246,251703.4883209791,0.0019332549369537322
2017-03-27,54880.1036941024,25773.874862788143,27844.31137724551,108400.00000000001,35773.10388782664,252671.3938219627,0.003845419495137614
2017-03-28,55476.344782890475,26308.08635199415,27925.577416595388,107600.0,36140.216698534095,253450.2252500141,0.0030823886165767256
2017-03-29,56668.82696046662,26366.630076838643,28002.566295979475,107200.0,36367.112810707455,254605.13614399216,0.004556756234242121
2017-03-30,56798.44458846404,26330.04024881083,28105.218135158255,109200.00000000001,36305.92734225622,256739.63031468933,0.008383547178286266
2017-03-31,57459.49449125081,26278.8144895719,28169.375534644998,108800.00000000001,36214.14913957936,256921.83365504708,0.0007096814003137997
2017-04-03,57783.53856124433,26286.132455177463,28036.783575705733,108400.00000000001,36272.785213511794,256779.2398056393,-0.0005550086864132275
2017-04-04,58768.63253402463,26483.717526527624,28113.772455089824,100800.0,36132.56851497769,250298.69103061978,-0.02523782210713288
2017-04-05,58924.173687621515,26351.994145627516,28041.06073567151,100000.0,36163.16124920332,249480.38981812386,-0.0032692988090609054
2017-04-06,58211.27673363577,26278.8144895719,28113.772455089824,100800.0,35989.8024219248,249393.6661002223,-0.0003476173737133603
2017-04-07,57990.9267660402,26227.588730332973,28092.386655260914,100400.0,35890.37603569152,248601.27818732563,-0.003177257567472558
2017-04-10,58781.59429682438,26190.998902305157,28028.229255774168,97600.0,35956.660293180365,246557.48274808406,-0.008221178322749934
